nest,cam,n,year,island,terr,date,julian,lay_date,hatch_date,LD,HD,age,hatch,chick,survive,pred,t,obvs,type,ground,veg,place,per_cover,str_veg,str_rock,max_str,dens,nn,nest_lagu,nest_tern
F3-1,F3,50,2018,Flat,USVI,4-Jun,155,17-May,10-Jun,137,161,18,1,NA,1,0,1,14,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-1,F3,50,2018,Flat,USVI,5-Jun,156,17-May,10-Jun,137,161,19,1,NA,1,0,1,15,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-1,F3,50,2018,Flat,USVI,6-Jun,157,17-May,10-Jun,137,161,20,1,NA,1,0,1,16,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-1,F3,50,2018,Flat,USVI,7-Jun,158,17-May,10-Jun,137,161,21,1,NA,1,0,1,17,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-1,F3,50,2018,Flat,USVI,8-Jun,159,17-May,10-Jun,137,161,22,1,NA,1,0,1,18,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-1,F3,50,2018,Flat,USVI,9-Jun,160,17-May,10-Jun,137,161,23,1,NA,1,0,1,19,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-1,F3,50,2018,Flat,USVI,10-Jun,161,17-May,10-Jun,137,161,24,1,1,1,0,1,20,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-1,F3,50,2018,Flat,USVI,11-Jun,162,17-May,10-Jun,137,161,25,NA,1,1,0,1,21,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-1,F3,50,2018,Flat,USVI,12-Jun,163,17-May,10-Jun,137,161,26,NA,1,1,0,1,22,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-1,F3,50,2018,Flat,USVI,13-Jun,164,17-May,10-Jun,137,161,27,NA,1,1,0,1,23,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-1,F3,50,2018,Flat,USVI,14-Jun,164,17-May,10-Jun,137,161,28,NA,1,1,0,1,23,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-2,F3,50,2018,Flat,USVI,22-May,142,17-May,10-Jun,137,161,5,1,NA,1,0,1,1,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-2,F3,50,2018,Flat,USVI,23-May,143,17-May,10-Jun,137,161,6,1,NA,1,0,1,2,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-2,F3,50,2018,Flat,USVI,24-May,144,17-May,10-Jun,137,161,7,1,NA,1,0,1,3,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-2,F3,50,2018,Flat,USVI,25-May,145,17-May,10-Jun,137,161,8,1,NA,1,0,1,4,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
